id,title
169,Brother from Another Series
156,The Homer They Fall
158,Bart After Dark
202,Lost Our Lisa
199,Girly Edition
187,Realty Bites
174,The Old Man and the Lisa
159,A Milhouse Divided
170,"My Sister, My Sitter"
193,The Last Temptation of Krust
183,The Cartridge Family
172,Grade School Confidential
161,Hurricane Neddy
197,Simpson Tide
177,The Simpsons Spin-Off Showcase
179,The City of New York vs. Homer Simpson
188,Miracle on Evergreen Terrace
201,King of the Hill
192,Das Bus
204,Lard of the Dance
190,Bart Carny
195,Lisa the Simpson
146,The Day the Violence Died
208,When You Dish Upon a Star
210,"Lisa Gets an ""A"""
211,"Homer Simpson in: ""Kidney Trouble"""
252,Lisa the Tree Hugger
215,"Sunday, Cruddy Sunday"
220,Maximum Homerdrive
232,"Hello Gutter, Hello Fadder"
221,Simpsons Bible Stories
260,Tennis the Menace
213,Viva Ned Flanders
230,Treehouse of Horror X
246,Last Tap Dance in Springfield
228,Brother's Little Helper
223,"The Old Man and the ""C"" Student"
243,Bart to the Future
227,Beyond Blunderdome
225,They Saved Lisa's Brain
216,Homer to the Max
234,"Take My Wife, Sleaze"
236,Little Big Mom
237,Faith Off
259,Worst Episode Ever
239,Saddlesore Galactica
248,Behind the Laughter
255,The Great Money Caper
241,Missionary: Impossible
244,Days of Wine and D'oh'ses
148,Bart on the Road
264,"Bye, Bye, Nerdie"
267,I'm Goin' to Praiseland
269,Simpsons Tall Tales
287,I Am Furious (Yellow)
288,The Sweetest Apu
316,The President Wore Pearls
271,The Parent Rap
285,Weekend at Burnsie's
295,Large Marge
280,The Bart Wants What It Wants
305,Mr. Spritz Goes to Washington
273,A Hunka Hunka Burns in Love
293,How I Spent My Strummer Vacation
275,She of Little Faith
296,Helter Shelter
283,Tales from the Public Domain
300,The Strong Arms of the Ma
276,Brawl in the Family
278,Jaws Wired Shut
289,Little Girl in the Big Ten
310,Old Yeller-Belly
298,Special Edna
302,Barting Over
309,"Dude, Where's My Ranch?"
312,The Bart of War
314,Treehouse of Horror XIV
165,Mountain of Madness
319,Today I Am a Clown
321,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays"
323,Diatribe of a Mad Housewife
337,All's Fair in Oven War
334,Bart-Mangled Banner
353,A Star Is Torn
362,See Homer Run
325,Milhouse Doesn't Live Here Anymore
327,The Ziff Who Came to Dinner
343,Homer and Ned's Hail Mary Pass
358,The Girl Who Slept Too Little
329,The Wandering Juvie
359,Milhouse of Sand and Fog
360,Treehouse of Horror XVI
366,Homer's Paternity Coot
339,She Used to Be My Girl
330,My Big Fat Geek Wedding
350,Future-Drama
364,The Italian Bob
332,Simple Simpson
367,We're on the Road to D'ohwhere
346,On a Clear Day I Can't See My Sister
355,Home Away from Homer
336,Treehouse of Horror XV
341,Midnight Rx
344,Pranksta Rap
194,Dumbbell Indemnity
375,Girls Just Want to Have Sums
377,The Monkey Suit
396,The Boys of Bummer
405,Treehouse of Horror XVIII
393,Rome-Old and Juli-Eh
416,Papa Don't Leech
378,Marge and Homer Turn a Couple Play
388,The Wife Aquatic
423,"Double, Double, Boy in Trouble"
382,Treehouse of Horror XVII
411,That '90s Show
428,The Burns and the Bees
384,Moe'N'a Lisa
386,The Haw-Hawed Couple
407,Husbands and Knives
420,All About Lisa
400,You Kent Always Say What You Want
425,Dangerous Curves
391,Springfield Up
389,Revenge Is a Dish Best Served Three Times
395,Marge Gamer
398,Stop! Or My Dog Will Shoot
414,Dial 'N' for Nerder
412,"Love, Springfieldian Style"
427,MyPods and Boomsticks
421,"Sex, Pies and Idiot Scrapes"
418,Any Given Sundance
206,Bart the Mother
430,"Take My Life, Please"
432,"No Loan Again, Naturally"
465,Elementary School Musical
439,"Waverly Hills, 9-0-2-1-D'oh"
463,The Bob Next Door
437,"The Good, the Sad and the Drugly"
451,Once Upon a Time in Springfield
443,Bart Gets a 'Z'
436,Eeny Teeny Maya Moe
459,Chief of Hearts
444,The Great Wife Hope
461,To Surveil with Love
479,The Scorpion's Tale
477,The Blue and the Gray
454,The Color Yellow
470,The Fool Monty
449,"O Brother, Where Bart Thou?"
453,Boy Meets Curl
481,Love Is a Many Strangled Thing
446,The Devil Wears Nada
484,Homer Scissorhands
456,Stealing First Base
471,How Munched is That Birdie in the Window?
483,The Real Housewives of Fat Tony
474,Moms I'd Like to Forget
467,MoneyBart
475,Flaming Moe
217,I'm with Cupid
488,Bart Stops to Smell the Roosevelts
490,Replaceable You
497,The D'oh-cial Network
540,Married to the Blob
507,Ned 'n Edna's Blend
512,Gone Abie Gone
517,Homer Goes to Prep School
533,Four Regrettings and a Funeral
537,Yellow Subterfuge
505,A Totally Fun Thing That Bart Will Never Do Again
492,The Book Job
499,The Daughter Also Rises
539,Steal This Episode
501,Exit Through the Kwik-E-Mart
523,"Black Eyed, Please"
503,"Them, Robot"
532,Treehouse of Horror XXIV
526,Pulpit Friction
519,The Changing of the Guardian
509,Moonshine River
514,A Tree Grows in Springfield
510,Treehouse of Horror XXIII
515,The Day the Earth Stood Cool
521,Hardly Kirk-ing
528,The Fabulous Faker Boy
535,Labor Pains
530,Dangers on a Train
218,"Marge Simpson in: ""Screaming Yellow Honkers"""
544,The Winter of His Content
549,What to Expect When Bart's Expecting
560,Covercraft
565,Walking Big & Tall
579,Treehouse of Horror XXVI
584,The Girl Code
551,Pay Pal
575,Every Man's Dream
572,Let's Go Fly a Coot
569,Waiting for Duffman
581,Lisa with an 'S'
563,Bart's New Friend
587,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4
571,The Kids Are All Fight
